अंकन,ankan
रहस्य,rhasya
सहस्त्राब्दियों,sahstrabdiyon
गुरुकुलों,gurukulon
ऋषिकुलों,rishikulon
तनुजा,tanuja
कुमारसेन,kumarsen
समर्थ,samarth
अभिनेत्री,abhinetri
शोभना,shobhna
मरेंगे,marenge
विस्फोट,visphot
ब्लॉग,blog
कार्डन,kaardan
फूड,food
एग्रीकल्चरल,agrikalchar
आर्गनाइज़ेशन,organizeshan
महानिदेशक,mahanideshak
सुविधाओ,suvidhao
आभाव,abhav
जद्दोजहद,jaddojahad
मतभेदों,matbhedon
मुजीबुर्रहमान,mujiburrahaman
बिगड़ना,bigdana
सहस्त्राब्दी,sahstrabdi
शताब्दियों,shatabdiyon
बीदसर,beedasar
ज्यूस,juice
आर्तेमिस्‌,aartemiss
अपोलो,apolo
जुड़वाँ,judva
बहनभाई,bahanbhai
चाँदी,chandi
धनुष,dhanush
बाण,ban
अस्थि,asthi
मज्जा,majja
उपास्थि,upasthi
पुट्ठे,putthe
मरम्मत,marammat
चुनौतीपूर्ण,chunothipurnd
बहु,bahu
वसा,vasa
स्तंभ,stanbh
हिस्सों,hisson
ऑटोलॉगस,autologous
प्रत्यरोपण,pratyaropan
चित्रित,chitrit
तोहफा,tohfa
देबी,devi
ताल्लुका,talluka
गाँवों,ganvo
कदापि,kadapi
कफ,kaf
मूत्रनिस्सारक,mutranissarak
रक्तशोधन,raktshodhak
रक्तवर्धक,raktvardhak
बहुविवाह,bahuvivaah
इन्फ्लूएंजा,influenza
फैलने,failne
फैलना,failna
बीमार,bimar
प्रोफ़ाइल,profile
मयंक,mayank
क्रिकइन्फ़ो,krikinfo
बरसात,barsat
उफन,ufaan
बह,beh
विजेताओं,vijetaon
निर्वहन,nirvahan
रगड़कर,ragadkar
उत्पत्र,utpatra
पारम्परिक,paramparik
अपनाते,apnate
कपड़ों,kapdo
गुणनफल,gunanfal
हीत,hit
कैपेसिटी,capecity
दासता,dasta
शोषण,shoshn
अन्‍याय,anyay
दरिद्रता,daridrata
स्‍तरों,staro
घनीभूत,ghanibhut
अमानिशा,amanisha
समाप्‍त,samapt
सकी,saki
भंडारण,bhandaran
निषेध,nishedh
माइटॉक्सैनट्रोन,maitasaintron
तुलनाएं,tulnayen
दिखाती,dikhati
नैतैलीज़ुमैब,naitailizumaiba
विकलांगता,viklangata
दृष्टियों,dristiyon
Mitoxantrone,mitoxantrone
द्वितीयक,dwitiyak
प्रभावों,prabhavon
तिजोरी,tijori
प्रलय,pralaya
जातियाँ,jatiya
निशाचरी,nishachari
सक्रीय,sakriya
गर्मी,garmi
छुट्टी,chutti
समर्थक,samarthak
अस्टोरिया,astoria
कामेन,kamen
बढने,badhane
तैयारी,taiyari
रोड़ा,roda
टैंगी,taigi
टोमाटो,tomato
हिप्नोसिस,hipnosis
डाइक्रोमेट,daikromet
निर्माताओं,nirmataon
हफ्ते,hafte
रॉक,rock
प्रतियोगिताओं,pratiyogitaon
उपरांत,uprant
यादवों,yadvon
जरासंध,jarasandha
हजारो,hajaron
व्यक्तियो,vyaktiyo
जमशेद,jamshed
रत्नखचित,ratnkhachit
देवदूतों,devdooton
उठवाया,uthwaya
मने,maney
दीप्तिमान,diptiman
एकरूपता,ykarupata
काननों,kananon
प्रिवेंशन,privenshan
फ़ूड,food
ऐडल्टरेशन,edaltreshan
ऐक्ट,act
और सन्‌,aur
यात्रओं,yatriyo
गिल,gill
जिम्बाब्वे,zimbabve
न्यूयॉर्क,newyork
फ़ैशन,fashion
अप्टन,aptan
मॉडल,model
जीसस,jesus
क्राइस्ट,christ
पुजा,pujaa
मुलाक़ात,mulakat
संपादन,sampadan
सप्तक,saptak
वक्तव्यों,waktwyo
कवितओं,kavitaon
रस्किन,raskin
बॉण्ड,bond
रास्टी,rasti
बभी,babhi
शाहु,shahu
दत्तक,dattak
ताराबाई,tarabai
अरेबियन,arebiyan
दर्शित,darshit
राधिका,radhika
आप्टे,apte
जंगलों,jungalo
उगता,ugtaa
अस्थिरता,asthirta
संघीय,sanghiy
दशा,dasha
बंगला,bangla
विश्वकोश,vishwakosh
प्रणीत,pranit
तत्क्षण,tatshan
प्लेन,plen
कमज़ोर,kamazor
क्लाइंट,client
जरूरतों,zarooraton
प्रोफाइल,profile
सैन्यवाद,sainyawad
बंदूक,banduk
महिलाएं,mahilayen
वि,v
S,s
मिलें,milen
LGMD,lgmd
जागर,jagar
बढाना,badhana
दवाखाने,dawakhane
कामवाली,kamwali
मरहठा,marhatha
रखरखाव,rakhrakhav
नस्लों,naslon
अक्षयवर,akshaywar
एलो,elo
बार्बाडेंसिस,barbodensis
बार्बाडोस,barbodos
पीला,pila
औषधीय,aushdhiya
घृतकुमारी,ghritkumari
डबलिन,dublin
अल्टीमेटम,ultimatum
भरतनाट्यम,bharatnatyam
अडवु,advu
संहिताकृत,sahitakrut
मार्गम,margam
हाँग,hong
काँग,kong
उपनिवेश,upnivesh
मै,mai
चने,chane
जाऊँगा,jaunga
दूँगा,dunga
श्रद्धालु,shradhalu
भक्ति,bhakti
अपवाद,apvad
सम्मिश्रण,sammishran
नाती,naati
लैलीडोर्प,lailidorp
अपरिचित,aparichit
देखरेख,dekhrekh
समझते,samjhte
किसानों,kisanon
मूल्‍य,mulya
लेवी,levie
वितरण,vitran
एजेंसियों,agensiyon
पर्याप्‍त,paryapt
उपलब्‍धता,upalabdhata
धनदंड,dhandand
अपर्याप्त,apyarapt
यूनिडो,unido
समन्वय,samnvay
पयोधिमंथन,payodhimanthan
भवभूति,bhavbhuti
अलंकरण,alnkarn
विभूषित,vibhushit
स्थानीकरण,sthanikaran
आठवीं,aathvin
चारबारी,charbari
अश्वारोही,ashwaarohi
हाथी,hathi
साधक,sadhak
महाशक्ति,mahashkti
अर्चना,archna
शक्तिस्वरूप,shaktiswaroop
अनादि चेतन,chetan
आनंदरूप,aanandrup
आत्मविवेक,aatmvivek
ज़ॉड,zod
सुपरमैन,supermen
जेलर,jelar
रसोई,rsoi
चढाने,chadhane
महाप्रसाद,mahaprasad
रसोईए,rasoiye
धनुर्विद्या,dhanurvidya
आपसे,aapse
छिपी,chhippi
सर्वसामर्थवान,sarvsamarthwan
कहूंगा,kahunga
योजन,yojan
ज्ञानी,gyani
वकदाल्भ्य,vakadalbhya
हल,hal
गोंड,gond
जिम्मेदारी,jimmedari
आंगनवाडी,anganwadi
विद्यालयों,vidyalyon
शुरु,shuru
जागरुकता,jagrukta
पंचायतों,panchayaton
चलाए,chalaye
कराना,karana
युवाओं,yuvaon
बाईं,bain
दाईं,dai
साँप,saanp
बसना,basna
तुम्हें,tumhen
पुरूलिया,puruliya
बांकुड़ा,bankuda
मिदनापुर,midnapur
क्योंझर,kyojar
मयूरभंज,mayurbhanja
सुंदरगढ,sundargadh
वृहत्,vakrut
निवासरत,niwasarat
टोटेमिक,totemik
गुस्टिधारी,gushtidhari
कुर्मी,kurmi
मूलत,mulat
द्रविड़,dravid
प्रजाति,prajati
आदिवासि,aadivasi
स्वायत्त,swayatta
समृद्धशाली,samruddhshali
कुड़मालि,kudmali
पंथिक,panthik
भाषायी,bhashayi
अल्पसंख्यकों,alpsankhyako
स्थितियों,sthitiyo
अनुरूप,anurup
मित्रता,mitrata
कर ली,karli
अर्जित,arjit
कपड़े,kapde
साझीदार,saajhidaar
खनिज,khanij
दूध्,dudh
दुहने,duhane
हिन्दुत्व,hindutva
पितृभूमि,pitrubhumi
पुण्यभूमि,punyabhumi
सन्तुष्ट,santuth
इन्द्रादि,indradi
मार्टिन्स,martins
तेजा,teja
तेलुगु,telugu
खाली,khali
किलोग्राम,kilogram
गंधक,gandhak
त्वरक,twarak
संपन्न,sampnn
इसमें एक,ismeanek
शक,shak
प्रतिष्ठानपुर,pratishthanpur
शालिवाहन,shaliwaahan
युगान्तर,yugaantar
सुरेशचन्द्र,sureshchandra
कलकत्ता,kalkatta
तल्ला,talla
ट्रेजरी,trejari
लूटने,lutne
पकड़े,pakde
कालेपानी,kalepani
पुरु,puru
राजकुमार,rajkumar
गजेंद्र,gajendra
उपजाऊ,upjau
जौ,jau
नारंगी,narangi
मधु,madhu
आकर,akar
श्राप,shrap
दिलाएँगे,dilayenge
तुम्हारा,tumhara
वरण,varan
पुरोहित,purohit
ज्योतिषी,jyotishi
नेहरुआ,nehruaa
गोपालगंज,gopalganj
पंचदेवरी,panchdevri
प्रखण्ड,prakhand
प्रायोजित,prayojit
आतंकवाद,aatankwad
प्रमाणों,pramanon
महासचिव,mahasachiv
की तरह,ki
चढ़ने,chadhne
फैंकने,phainkne
चाको,chako
रोनल्ड,ronald
रीगल,regal
कैलिफोर्निया,california
अटल,atal
बिहारी,bihari
वाजपेयी,vajpayi
मनोनीत,manonit
कराधान,karadhan
संप्रभु,samprabhu
अधिकार और,aur
अध्यारोपित,adhyaaropit
राष्ट्रीयकरण,rashtriykaran
एट्लान्टा,atlanta
जॉर्जिया,georgia
मुकद्दमा,mukddama
सहगल,sehgal
गुरुबख्श,gaurubakhsh
शाहनवाज,shahnvaaz
जीती,jiti
पर्यवेक्षी,parvekshi
अदालतों,adalton
बदायूँ,badaun
बनाम,banaam
बेटल,betal
सीलें,silen
जलव्याघ्र,jalvyaghr
लायन,lion
शुद्र,shudra
इंस्टालेशन,installation
स्वतः,swat
नेपोलियन,nepolian
मित्रराष्ट्रों,mitrarashtron
अमृता,amruta
प्रीतम,pritam
एस,s
उल्लू,ullu
सर्वांगीण,sarvangin
पीढ़ियों,pidiyon
बचाना,bachana
टार्सल,tarsal
स्पर,spar
विवृति,vivruti
स्वच्छंदतंत्र,swachhandtantra
अभियांत्रिकी,abhiyantriki
वासू,wasu
काफिले,kafile
भीषण,bhishan
रीरा,reera
अब्शीसी,abshisi
तारेने,tarene
शेरे,shere
प्रस्तावना,prastavana
रुपरेखा,ruprekhaa
बताते,batate
भाषाऔं,bhashaon
मशीनी,mashini
लिप्यंतरण,lipyantaran
बरह,barah
सॉफ्टवॅर,software
युनिकोड,unicode
ट्रेडिसनल,tredishanal
फन्ट,fant
यान्त्रिक,yaantrik
सुबिधा,subidha
मनोजात,manojaat
मजहबी,majhabi
भावनाओं,bhavnao
उठकर,uthkar
ढिल्लन,dhillan
सचमुच,sachmuch
मनोसामाजिक,manosamaajik
सुधारने,sudharne
ऑर्गनाइजेशन,orgnation
सोसाइटी,society
कन्नौजिया,kannojiya
नगेन्द्रनाथ,nagendranath
बसु,basu
बांग्लापेडिया,banglapediya
महाजन,mahajan
महत्ता,mahtta
गोकुल,gokul
एमबीऐ,mba
पाटलिपुत्र,patliputra
बढ़ोतरी,badhotari
मानसिकविकारों,maansikvikaron
समापन,samapan
जुहू,juhu
शाम,sham
सुबाहु,subahu
मारीच,marich
कश्मीरी,kasmiri
गंभीरता,gambhirta
पराक्रमी,parakrami
मारक,marak
शस्त्रास्त्रों,shastrastron
योद्धाओं,yoddhaon
शत्रु,shtru
गाजर,gajar
काटना,katana
चढ़ता,chadhta
छंटाई,chhantai
पैरों,pairon
न्यायिक,nyayik
मंत्रियों,mantriyo
पदाधिकारियों,padadhikariyon
प्रणालिया,pranaliya
अभिलेख,abhilekh
खोजों,khojon
गाय,gay
किलो,kilo
दाना,dana
दुधारू,dudharu
राहिल,rahil
अंगद,angad
पांव,panv
जागरण,jagran
चेरुश्शेरि,cherussheri
रसों,rason
बुद्धिमत्तापूर्वक,buddhimattapurvak
मूर्खतापूर्वक,murkhtapurvak
क्रान्ति,kranti
गीतांजलि,gitanjli
झीलों,jhilom
नारे,naro
प्रेमिकाएं,premikayen
स्कारलेट,scarlet
गिसेल,gisel
थप्पड़,thappad
मारता,marta
ट्रैवेलर्स,travels
संस्‍कृति,sanskriti
अवलंब,avlamb
खगोल,khagol
स्थानगत,sthannagat
प्रत्यक्षीकरण,pratykshikaran
तोड़ने,todne
सौंपकर,saunpakar
साहिल,sahil
नग्न,nang
पेनाइन,penain
यार्क,yark
यार्कशायर,yarkshire
लिंकनशायर,linkenshayar
घाटियाँ,ghatiya
पशुपालन,pashupalan
बार्बीचुरेट्स,barbichurets
एमोबार्बिटल,emobarbital
बार्बिटल,barbital
पेंटोबार्बिटल,pentobarbital
फीनोबार्बिटल,finobarbital
सेकोबार्बिटल,sekobarbital
तना,tana
टेढ़ा,tedha
मेढ़ा,medha
ऐंठा,aitha
टीकाकारों,tikakaron
भक्तमालों,bhaktmalon
परचइयों,parchiyon
वारंट,warrant
मध्‍य,madhya
सुगौली,sugauli
अंतराआण्विक,antaraanvik
दूरियाँ,duriya
आज़ादी,azadi
टिहरी,tihari
रजवाड़ा,rajwada
कलकत्ते,kalkatte
लाला,lala
लाजपत,lajpat
केंडल,candal
शिनॉय,shinoy
परेशनाथ,pareshnath
भाषात्मक,bhashatmak
संगीतात्मक,sanghitmak
लिपिक,lipik
पुष्टकायिक,pushthkayik
योग्यताएँ,yogyatayen
ताल्लुक,talluk
नवीनतम,navintam
ग्लैडिएटर,gladiator
Gladiator,gladiator
एतिहासिक,etihaasik
रिडली,redli
स्कॉट,scott
रसल,russell
क्रो,kro
जोआक्विन,joaquin
फ़िनिक्स,phoenix
कोणी,koni
राल्फ़,ralf
ऑलिवर,oliver
डोमोन,domain
होंसन,honsan
जेकोबी,jacobi
शर्प्नेल,sharpnel
भूमिकाओं,bhumikaon
षड्यंत्र,shadyantra
सार्जेंट,sergeant
सांडर्स,sanders
आरोपित,aaropit
गुरुमाता,gurumata
बढीं,badhin
चोर,chor
भगे,bhage
वें,ve
क्वेडरिगो,quadrigo
Quadrigo,quadrigo
मार्केटिंग,marketing
शैक्षणिक,shaikshanik
आस्तिकता,astikata
युक्तियां,yuktiya
नौवहन,nauvhan
प्रतियोगी,pratiyogi
सागरीय,sagariya
धाराओं,dharaon
उठाते,uthate
श्रीहत,shrihat
हर्षाली,harshali
कहिं,kahin
बिबिध,bibidh
बिधि,bidhi
महँ,mah
उछाह,uchhah
तबाही,tabahi
मचाने,machane
कुख्यात,kukhyath
महामारी,mhamari
निबटारा,nibtara
परगनैत,parganaita
दीर्घतमस,dirghatmas
संकेतकों,sanketkon
जियोबैसीलस,geobacillus
स्टीरोथर्मोफिलस,stearothermophilus
सस्ता,sastaa
कैथोडिक,cathodic
आवरण,avaran
संक्षारिक,sansharik
मानसी,mansi
तोमर,tomar
मर्रियट,marriott
संकर्षा,sakrsha
कॉर्सेट,corset
वहन,wahan
अचारों,acharon
शृंगार,srngara
झारखन्ड,jharkhand
संपदाओं,sanpdaon
बटाना,batana
काटता,katata
लसीका,lasika
ग्रंथि,granthi
सूज,suj
ब्यूबो,buro
आन्द्रे,andre
अगासी,agassi
नेवाडा,nevada
लास,las
वेगास,vegas
पुख्ता,pukhta
बर्तनों,bartanon
अवशेषों,awashesho
पांडवों,pandvon
हैंगिंग,hanging
जज़मेंट,jujment
धर्मयुद्धों,dharmyuddhon
यामिनी,yamini
गगनेंद्र,gagnendra
अमूल्य,amulya
पीथमपुरी,pithampuri
नीम,neem
थाना,thana
गिलमैन,gilmain
न्यू,nyun
हैवेन,haiven
अविवाहित,avivahit
कन्हाई,kanhai
नाटयशाला,natyashala
राधाकृष्ण,radhakrishna
चैतन्य,chetany
महाप्रभु,mhaprabhu
पदचिह्न,padchihan
थक,thak
बर्लिन,burlin
प्राणिशास्त्र,pranishashtra
प्रोफेसर,professor
स्ट्रेसमैन,streceman
अनुवादों,anuwadon
रैम्पियन,rampion
अत्यावश्यक,atyavshyak
जीत,jit
पुराणकथा,purankatha
महाबली,mhabali
लपके,lapke
हा,ha
कालिम्पोंग,kalimpong
पीआरएल,prl
दार्शनिक,darshanik
आपत्तियों,aapattiyon
टी वी,tv
रिटर्न,return
एंटिलोप,antilop
ग्रानाडा,granada
टेलिविज़न,television
पिंडारी,pindari
झंडा,jhande
लहराया,lahraya
आउंगा,aaunga
कहकर,kahkar
गौढ़ा,gaudha
घासी,ghasi
गोवारी,govari
गुज्जर,gujjar
ईडुयान,iduyan
कावुन्दन,kavundan
गोपालकों,gopalkon
मेन,men
इक्सपोनेन्शियल,iksponenshiyal
फलन,phalan
शासनकाल,shasankal
एकता,ekta
बकाया,bakaya
प्रणालीगत,pranaligat
संसाधन,sansadhan
ओसिरिस,osiris
मूसलाधर,musaldhar
ओलों,olon
गिरने,girne
तीव्रगति,tirvgati
प्रचण्ड,prachand
स्थलीय,sthliya
शुष्क,shushk
आर्द्र,adra
मिलना,milna
वृहद,vrihad
हेड्रॉन,hedron
संघट्टक,sanghttan
कोलाइडर,colaider
सिविल,civil
डांडिया,dandiya
रास,ras
प्रभावीत,prabhavit
पुरषों,purshon
हसरतें,hasratyen
गार्डन,gardana
जौनसारी,jaunsari
सहारनपुर,saharanpur
जिलों,zilon
सैंकड़ों,secondon
कुंदुर्ति,kundurti
आंजनेयुलु,aanjaneyulu
कुश्ती,kushti
चैम्पियन,champion
टण्डनजी,tandanji
सचिव,sachiv
आर,r
जर्नलिस्ट,journalist
रवि,ravi
जोगिन,jogin
फुट,fut
रणभूमि,ranbhumi
हाइपरसोनिक,hypersonic
रोक,rok
बुने,bune
चरों,charon
अवकलज,avakalaj
अपरिवर्ती,aprivarti
परिवर्ती,parivarti
विचारविषय,vicharvishay
यथार्थवाद,ytharthwad
नामवाद,namvad
ऐट,at
वर्ल्ड्स,worlds
डेप,depp
च्वाइस,choice
अवार्ड,award
किड्स,kids
विद्रोही,vidrohi
नवयुवकों,navyuvakon
सभाओं,sabhaon
हुल्लड़बाज,hulladbaaj
क्षति,shati
पंहुचाते,pahunchate
काटवाला,katwala
झुका,jhuka
अर्धशीर्ष,ardhshirsh
कोण,kone
दीर्घवृत्त,dirghvritta
जनक,janaka
परवलय,paravlay
अपरिवलय,aparivalay
द्विशंकु,dwishanku
आयेगा,aayegaa
हिरोडोटस,hirodotus
IV,iv
BCE,bce
गेटे,gete
प्राणान्त,pranant
संतों,santon
स्मरण,smarana
लेज,lej
कैम्ब्रिज,cambridge
खोली,kholi
कार्डिनल,kardinal
फिजियोलॉजी,physiology
वर्नर,warner
आर्बर,aarber
नाथनस्,nathnans
एंजाइमों,anjaimo
ग्रामों,gramon
जीवाणुनाशक,jivanunashak
औषधियों,aushdhiyon
कुपरिणाम,kuprinaam
अवयवों,avyavon
ओषधियों,aushdhiyo
औषधशास्त्र,aushadshashtr
भेषजगुण,bheshgun
फ़ार्माकॉलोजी,farmacology
वितंत्रीकरण,vitantrikaran
अपरिपक्व,aparipakv
निरोपण,niropan
तंत्रिकापेशी,tantrikapeshi
संचरण,sancharan
कॉलिनस्टीरेज़,colinstirej
निषेधकों,nishedhkon
खुराक,khurak
इलाका,ilaka
शहरहै,shaharhai
पर गए,par
तीखुर,tikhur
पुराणकालीन,purankalin
जनपदों,janpdon
बौद्धकाल,bouddhakaal
रुग्णता,rugnata
शोक,shok
विटामिनों,vitaminon
फैलाने,failane
होनेवाली,honeyvaali
प्रकाशतरंगों,prakashtarangon
व्यतिकरण,vyatikaran
यशोदा,yashoda
पंचतंत्र,panchtantra
संस्‍कृत,sansrut
पद्यांश,padyansh
शिविर,shivir
रखना,rakhna
चौंतीसा,chautisa
केली,kely
रिपा,ripa
भरते,bharte
पैसा,paisa
आइटम,aaitam
धनवान,dhanwan
दिखाने,dikhane
अभिव्यक्तिवाद,abhivyaktivad
एगॉन,aigon
शिल,shil
अमेडियो,amedio
मोदिगिलानी,modigilani
चैम,chaim
सॉटिन,sotin
शिश्नोत्थान,shishnotthan
रोधगलन,rodhgalan
दृश्यों,drishyon
मुद्दा,mudda
वेनर्ट,venert
शिलांग,shillong
रामानंद,ramanand
माली,mali
छेद,chhedh
गद्य,gadya
विधाओं,vidhaon
प्रतिमान,pratiman
फिलिपींस,filipeens
द्रष्टव्य,drashtavya
प्रस्तावों,prastaon
मियानि,miyani
डी॰,d
शिरा,shira
पचपन,pachapan
पहलवानी,pahalwani
मुकाबलों,muqabalon
ने भी,ne
शिकायत,shikayat
औरंगजेब,aurangjeb
औरंगाबाद,aurangabad
सन्दर्भित,sandrbhit
व्युत्पंन,vyutpann
कांशीराम,kanshiram
अंकुश,ankush
खो,kho
थेम्स,thems
अपरिष्कृत,aprishkrat
बाथटब,bathtab
विवस्त्र,vivstr
नाव,nav
हम्फ्रीज़,hamfriz
मुफ्ती,mufti
आज़म,azam
हिन्द,hind
मुस्तफा,mustfa
हुज्जतुल,hujjtul
हामिद,hamid
अज़हरी,ajhari
मियाँ,miyan
बुजुर्ग,buzurg
इल्म,ilm
शमा,shma
रोशन,roshan
सूख,sukh
हेंडपंप,handpump
बांटें,banten
मुख्‍यालय,mukhyalay
राज्‍यों,rajyon
जागरूकता,jagrukta
उद्देश्‍य,uddhesh
दिखता,dikhtaa
मलकाणी,malkani
सिन्धी,sindhi
घेवन,ghevan
आचार्यो,achaaryon
कुण्ड,kund
साधनों,sadhnon
हेरफेर,herpher
अवश्यंभावी,avasynbhavi
परिलक्षित,parilakshit
वैगई,vaigai
डेट्रिमेण्ट,detriment
दीना,dina
शिहाबी,shihabi
ताइवान,taiwan
मेकन,mekan
कोलंबस,columbus
सवाना,savana
भारोपीय,bhaaropiya
ब्राडकास्टिंग,brodcasting
इसमे,isme
शिकोहाबाद,shikohabad
नाभिकीय,nabhkiy
रिएक्टर,reactor
ईंधन,indhan
आरोन,aaron
अत्स्मा,atsma
थ्योई,thyoi
मिथोलॉजी,mithology
एक्यूअस,aquas
यूनिकॉर्न,unicorn
आखिरकार,aakhirkar
अमरिका,america
पीना,pina
सोना,sona
भूलकर,bhulkar
लीन,lin
खरीदता,kharidta
लगाई,lagai
सट्टा,satta
गौरतलब,gaurtalab
पेड़ों,pedon
दासगुप्त,daasgupt
कौशितकी,kaushitki
कृमि,krimi
मछली,machhali
पंक्षी,pankshi
सुअर,suar
सांप,samp
असीरिया,asiriya
जातीय,jatiy
सर्वमहान्‌,sarvmahan
रौर्शा,rausho
प्रक्षेपीय,praksepiya
रोशनाई,roshnai
धब्बों,dhabbon
विवेचन,vivechan
युआन,yuan
घातक,ghatak
तान्गूतों,tanguto
दस्तावेज़,dastavez
दानापुर,danapur
धनबाद,dhanbad
मुगलसराय,mughalsarai
समस्तीपुर,samastipur
सोनपुर,sonpur
लडकियाँ,ladkiyan
पहनती,pehnati
आभूषण,abhushan
लडके,ladke
केडिया,kediya
पहन,pehan
पगडी,pagdi
बांधते,bandhate
सेवानिवृत्त,sevanivritta
न्यायधीश,nyayadhish
न्यायमूर्ति,nyaymurti
पड़ते,padte
बहाने,bahane
सविनय,savinay
अवज्ञा,avg
सन्देश,sandesh
हिरण्यकश्यप,hiranykashyap
दमन,daman
खुदा,khuda
Amex,amex
वीसा,visa
मास्टर्कार्ड,mastcard
हौसला,hosla
असाधारण,asadharan
रजाविया,rajviya
कन्ज़ुल,kanjul
इमान,iman
स्पष्टीकरण,spashtikaran
जगदीश,jagdish
तादात्म्य,tadatmya
गुजरती,gujrati
ऋतु,rutu
परदे,parde
अदाकारा,adakara
कहलाना,kahlana
षडबल,shadbal
निकाले,nikale
दिगबल,digbal
बलुए,baluye
चिकनी,chikni
अन्तरिक्ष,antariksh
इसरो,isro
भूकंप,bhukamp
सुनामी,tsunami
आवेश,avesh
घनत्व,ghantva
समीकरण,samikaran
मेलबर्न,melborne
कॉलिन्स,colins
चैडस्टोन,chaidsten
अदी,adi
फेकने,fekne
ग्रेनेड,grened
तुला,tula
पाँव,pav
बदलकर,badalkar
रिवार्ड,rivarda
गोल्ड,gold
बाढ़,badh
कानन,kanan
नुबिया,nubiya
पिट्सबर्ग,pittsburgh
पाइरेट्स,pirates
अधिपतित्व,adhipatitv
सीबीएस,cbs
योर,your
लक,luck
एपिसोड,episode
दिखा,dikhaa
निचले,nichle
व्हैमी,vhaimi
एनिमेटेड,animated
जानते,jante
गोरेगांव,goregaon
फिल,phil
सिटी,city
होतीं,hoti
आक्रान्ता,aakranta
अलाउद्दीन,allaudin
खंडित,khandit
वृद्धावस्था,vridhavastha
स्वभाविक,swabhavik
कलियुग,kaliyug
सम्वत,samvant
कंधा,kandha
दूरदराज,durdaraz
बर्फ़ीले,barfile
फ्रैंक,frank
ग्रिलो,grillo
ऑलरोवि,aulrovi
कासिम,kasim
गज़नवी,gajnavi
शहाबुद्दीन,shahabuddin
विपुलधन,vipuldhan
खुजली,khujali
रुग्णक,rugnak
बहरापन,bahrapan
अमिताभ,amitabh
भागने,bhagane
वहीदा,wahida
जुड़वा,judwaa
गाडगीळ,gadgil
आदी,adi
विद्वत,vidvat
जनोंने,janone
पुरातत्वशास्त्र,purattvshastra
भारतविद्या,bharatvidya
उपवनोंका,upavnonka
रक्ताल्पता,raktalpta
अविकासी,aviksi
ज़ब्ती,jbti
अरक्तता,arktata
संपत्तियों,sampttiyon
वायकॉम,waycom
ब्राह्मणी,brahmani
पिंड,pind
डोनाल्ड,donald
बुचर्ट,buchart
इवांस,evans
हैरी,harry
फननेल,fannel
माइक,mike
डिकिंसन,dikinson
लेस्टरशायर,lestershayar
अंगों,angon
खोजें,khojen
आमेज़न,aamezon
त्रावणकोर,travankor
कोचीन,kochin
कुर्ग,kurg
सलेम,salem
श्रीलंका,srilanka
उगाया,ugaya
बसंती,basanti
गोल्डन,golden
किकायू,kikayu
माँगे,mange
ठुकरा,thukra
दीं,din
ध्वनित,dhwanit
फ़िल्माया,filmaya
हॉलीवुड,hollywood
चित्रांकन,chitrankan
बूँदों,bundon
बान,baan
कुष्ठ,kushtha
बृहस्पति,brihaspati
उदय,uday
भाारतीयों,bhartiyon
HDW,hdw
इज्जतनगर,izzatnagar
डिवीजन,division
बग्स,bugs
बदलती,badalti
प्रयास करने,prayaas
फाउण्डेशन,foundation
बिरादरी,biradari
ग्रामवासी,gramwasi
जहानाबाद,jehanabad
मसौढ़ी,masaudi
आरा,arrah
पालीगंज,paliganj
मनेर,maner
फुलवारी,fulwari
बिक्रम,bikram
सचेत,sachet
बुली,buli
कंका,kanka
मोहन्ता,mohnta
इंस्टिट्यूटो,institute
नेसियोनल,nesiyonal
पेसक्विसास,pesqusas
एस्पेसियास,espesiyas
ब्राजील,brazil
आईएनपीई,inpe
भयंकरता,bhyankarta
सुदृढ़,shudridh
यज़ीदिज्म,yjidijanm
अनुयायियों,anuyayiyon
अन्वेषण,anveshan
विषानों,vishanon
अन्वेषकों,anveshakon
प्रकृतिवादियों,prakritivadiyon
देवनागरी,devnagri
विल,will
टर्नर,turner
आर्क,ark
सज्जन,sajjan
वीरगाथा,veergatha
आवाजें,awaazen
पालने,palne
झुलावै,jhulavai
गैलेथिआ,gailethiya
शासित,shasit
अंडमान,andaman
निकोबार,nikobar
ब्लॉगर,blogger
उपयोक्ता,upyokta
बिन्दु,bindu
नाभियों,nabhiyon
योग,yoga
नियत,niyat
राजेश,rajesh
प्रभाकर,prabhakar
मंडलोई,mandloi
सिल्वर,silver
जुबिली,jubilee
दिलाने,dilane
काणभूति,kanbhuti
चमड़े,chamde
विद्याधरेंद्रो,vidyadhrendro
फरीदाबाद,faridabad
सनसनी,sansani
मचा,machaa
न्यूज़,news
प्रतिमानों,pratimanon
पालना,palna
महाराज,maharaj
मालवे,malve
यथेष्ट,yathesht
फील्ड,field
कॉम्बैट,combat
पेट्रोल,petrol
खज़ाना,khajana
मूंल्‍यवान,mulyvaan
स्‍वीकृत,swikrut
हस्‍ताक्षरित,hastasharit
सुलिखित,sulikhit
कशमकश,kashmakash
नक्शा,nakshaa
पुरातन,puratan
कालाजार,kalajar
निद्रारोग,nidrarog
इरफ़ान,irfaan
तारसप्तक,tarasptak
युगांतरकारी,yugantarkari
पुष्करिणी,pushkrini
रूपांबरा,rupambara
परीक्षाएँ,parikshayen
याचित,yachit
कार्तिक,kartik
शिखा,shikha
तैवाली,taivali
टारथर,tarthar
लैटिन,latine
डोमिनिकन,domenikan
